"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"70",0.05658,0.02958,0.02012,0.04815,0.09855,0.08509,0.08714,0.05201,0.09787,0.10317,0.23183,0.0197,0.02298,0.02314,0.02409
"71",0.05173,0.03348,0.02286,0.0858,0.16484,0.10927,0.13227,0.07831,0.04225,0.14979,0.03949,0.0197,0.02298,0.02314,0.02409
"72",0.03215,0.04045,0.0706,0.02129,0.08802,0.02336,0.04181,0.32355,0.11828,0.12191,0.02866,0.0197,0.02298,0.02314,0.02409
"73",0.04112,0.04958,0.046,0.08292,0.04286,0.12087,0.04947,0.32037,0.06263,0.05906,0.03521,0.0197,0.02298,0.02314,0.02409
"74",0.03736,0.02825,0.02745,0.13435,0.03536,0.13464,0.04487,0.28995,0.07132,0.07038,0.03616,0.0197,0.02298,0.02314,0.02409
"75",0.04014,0.03027,0.02894,0.0408,0.05908,0.08788,0.08259,0.09521,0.16814,0.02341,0.25363,0.0197,0.02298,0.02314,0.02409
"76",0.04609,0.05206,0.02671,0.03694,0.12366,0.02117,0.08323,0.1246,0.12953,0.197,0.06911,0.0197,0.02298,0.02314,0.02409
"77",0.04181,0.04388,0.02328,0.08955,0.05637,0.10711,0.09728,0.14288,0.16171,0.10156,0.04465,0.0197,0.02298,0.02314,0.02409
"78",0.02542,0.05123,0.01843,0.10443,0.04766,0.04352,0.0366,0.36138,0.09744,0.05046,0.07351,0.0197,0.02298,0.02314,0.02409
"79",0.05483,0.03792,0.07518,0.14278,0.10422,0.10563,0.05963,0.01907,0.16334,0.04263,0.10486,0.0197,0.02298,0.02314,0.02409
"80",0.042,0.04057,0.01824,0.03991,0.01816,0.0623,0.24539,0.18446,0.18888,0.03803,0.03217,0.0197,0.02298,0.02314,0.02409
"81",0.03329,0.04134,0.07769,0.05615,0.031,0.05009,0.18897,0.04564,0.17236,0.11226,0.10129,0.0197,0.02298,0.02314,0.02409
"82",0.04392,0.03812,0.07414,0.05972,0.03015,0.13386,0.20746,0.10817,0.02114,0.08727,0.10614,0.0197,0.02298,0.02314,0.02409
"83",0.05301,0.05875,0.02206,0.04264,0.08775,0.05807,0.17266,0.19215,0.11061,0.07432,0.03806,0.0197,0.02298,0.02314,0.02409
"84",0.0289,0.04892,0.05105,0.11872,0.02471,0.19297,0.03273,0.04815,0.20651,0.06211,0.09533,0.0197,0.02298,0.02314,0.02409
"85",0.04413,0.0581,0.02248,0.0919,0.15301,0.05955,0.06702,0.04298,0.1043,0.09215,0.17447,0.0197,0.02298,0.02314,0.02409
"86",0.03106,0.05927,0.07787,0.02721,0.05166,0.0717,0.06542,0.06481,0.2956,0.09453,0.07096,0.0197,0.02298,0.02314,0.02409
"87",0.02341,0.01737,0.06049,0.0617,0.03371,0.04973,0.06327,0.25692,0.03485,0.21076,0.09788,0.0197,0.02298,0.02314,0.02409
"88",0.02036,0.03975,0.03367,0.03766,0.0886,0.20502,0.14764,0.10654,0.12193,0.04232,0.06661,0.0197,0.02298,0.02314,0.02409
"89",0.03828,0.02249,0.07132,0.09244,0.07155,0.05347,0.24433,0.06075,0.02793,0.0403,0.18722,0.0197,0.02298,0.02314,0.02409
"90",0.04906,0.05694,0.04459,0.07922,0.04433,0.14625,0.15461,0.17025,0.01776,0.11804,0.02904,0.0197,0.02298,0.02314,0.02409
"91",0.05611,0.03411,0.07941,0.08166,0.03029,0.05676,0.18941,0.0425,0.03198,0.08169,0.22619,0.0197,0.02298,0.02314,0.02409
"92",0.05602,0.03443,0.02544,0.04152,0.06123,0.05836,0.16256,0.09486,0.16579,0.12191,0.08797,0.0197,0.02298,0.02314,0.02409
"93",0.05352,0.04303,0.0515,0.16312,0.03641,0.02468,0.04289,0.10251,0.20762,0.16777,0.01703,0.0197,0.02298,0.02314,0.02409
"94",0.03306,0.05538,0.04693,0.03765,0.14754,0.04586,0.16917,0.16662,0.03767,0.06681,0.10339,0.0197,0.02298,0.02314,0.02409
"95",0.03693,0.043,0.03507,0.03898,0.09227,0.0639,0.22413,0.15084,0.15507,0.04734,0.02255,0.0197,0.02298,0.02314,0.02409
"96",0.01945,0.03126,0.03697,0.13591,0.11595,0.05627,0.06004,0.13947,0.1008,0.16496,0.04901,0.0197,0.02298,0.02314,0.02409
"97",0.05616,0.05226,0.02313,0.03293,0.14945,0.04078,0.05689,0.02772,0.12206,0.18279,0.16594,0.0197,0.02298,0.02314,0.02409
