"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"94",0.08347,0.05011,0.02929,0.0939,0.05334,0.13194,0.1615,0.06232,0.09618,0.076,0.04336,0.02798,0.02812,0.0302,0.03229
"95",0.03199,0.12452,0.06139,0.04602,0.18525,0.08652,0.04601,0.03669,0.04571,0.07709,0.14022,0.02798,0.02812,0.0302,0.03229
"96",0.03085,0.12562,0.11094,0.0504,0.04626,0.03885,0.0809,0.05705,0.24389,0.04048,0.05617,0.02798,0.02812,0.0302,0.03229
"97",0.06021,0.08163,0.03774,0.06672,0.20061,0.05539,0.048,0.10073,0.02819,0.05042,0.15176,0.02798,0.02812,0.0302,0.03229
"98",0.05006,0.06403,0.10026,0.03101,0.05795,0.07675,0.08416,0.0363,0.03931,0.17807,0.1635,0.02798,0.02812,0.0302,0.03229
"99",0.05494,0.10269,0.02884,0.03136,0.05296,0.05231,0.16393,0.20967,0.06938,0.07937,0.03596,0.02798,0.02812,0.0302,0.03229
"100",0.10988,0.04833,0.13993,0.07233,0.10606,0.09163,0.0976,0.02624,0.04761,0.05226,0.08954,0.02798,0.02812,0.0302,0.03229
"101",0.0311,0.02904,0.05403,0.05038,0.02502,0.09599,0.17767,0.08827,0.10312,0.07969,0.14708,0.02798,0.02812,0.0302,0.03229
"102",0.02502,0.08509,0.049,0.04408,0.0527,0.08853,0.11081,0.29964,0.03701,0.04025,0.04927,0.02798,0.02812,0.0302,0.03229
"103",0.09616,0.08172,0.03239,0.0597,0.11499,0.02502,0.11191,0.22665,0.06959,0.03241,0.03088,0.02798,0.02812,0.0302,0.03229
"104",0.08594,0.12243,0.07017,0.04016,0.02502,0.02703,0.04777,0.07388,0.06962,0.04086,0.27853,0.02798,0.02812,0.0302,0.03229
"105",0.03646,0.14765,0.05763,0.1032,0.06893,0.0517,0.09609,0.13621,0.09182,0.05999,0.03174,0.02798,0.02812,0.0302,0.03229
"106",0.05375,0.04222,0.09858,0.09966,0.04005,0.0796,0.15228,0.0637,0.02502,0.14895,0.07759,0.02798,0.02812,0.0302,0.03229
"107",0.09764,0.11376,0.12369,0.04228,0.06532,0.04214,0.06766,0.02502,0.11506,0.06306,0.12578,0.02798,0.02812,0.0302,0.03229
"108",0.02502,0.03558,0.04041,0.06129,0.06608,0.22621,0.06457,0.0461,0.17573,0.0309,0.10951,0.02798,0.02812,0.0302,0.03229
"109",0.05599,0.10431,0.08526,0.03704,0.02502,0.08029,0.08235,0.1506,0.08218,0.09238,0.08599,0.02798,0.02812,0.0302,0.03229
"110",0.12159,0.11563,0.08914,0.06024,0.12986,0.03575,0.13936,0.02502,0.06162,0.04904,0.05415,0.02798,0.02812,0.0302,0.03229
"111",0.08296,0.11404,0.04426,0.12508,0.08707,0.11134,0.05885,0.05065,0.02502,0.09198,0.09015,0.02798,0.02812,0.0302,0.03229
"112",0.12318,0.0985,0.06991,0.07667,0.12411,0.02591,0.05385,0.11872,0.02502,0.05925,0.1063,0.02798,0.02812,0.0302,0.03229
"113",0.12933,0.05484,0.03334,0.1235,0.05994,0.05188,0.04209,0.20238,0.06187,0.03909,0.08314,0.02798,0.02812,0.0302,0.03229
"114",0.06645,0.06566,0.09697,0.02953,0.05353,0.08089,0.02502,0.23112,0.03647,0.13598,0.05981,0.02798,0.02812,0.0302,0.03229
"115",0.07929,0.08933,0.02502,0.16948,0.09281,0.09973,0.08714,0.05324,0.03954,0.04687,0.09897,0.02798,0.02812,0.0302,0.03229
"116",0.10852,0.0747,0.1714,0.09441,0.02525,0.0548,0.03733,0.02794,0.06447,0.19755,0.02502,0.02798,0.02812,0.0302,0.03229
"117",0.06565,0.03033,0.11077,0.19135,0.03921,0.05549,0.02502,0.17802,0.0543,0.03116,0.1001,0.02798,0.02812,0.0302,0.03229
"118",0.02502,0.05857,0.06711,0.08108,0.04409,0.0575,0.07378,0.14732,0.13474,0.14293,0.04927,0.02798,0.02812,0.0302,0.03229
"119",0.05642,0.03343,0.05418,0.0312,0.09518,0.02502,0.14408,0.18011,0.1779,0.02951,0.05438,0.02798,0.02812,0.0302,0.03229
"120",0.02502,0.04038,0.03953,0.04018,0.06316,0.17478,0.06798,0.0254,0.16041,0.15057,0.094,0.02798,0.02812,0.0302,0.03229
"121",0.06317,0.10265,0.05255,0.03369,0.15556,0.05041,0.02502,0.03075,0.22107,0.08939,0.05715,0.02798,0.02812,0.0302,0.03229
